Strike,Entry Time,Entry Price,Exit Time,Exit Price,Percent Change,MTM,Sell Qty,SL hit
BANKNIFTYWK36100CE,2021-12-31 12:15:00,141.95,2022-01-03 12:18:00,288.65,1.0334624867911237,203.3462486791124,50.0,0
BANKNIFTYWK36100CE,2021-12-31 12:15:00,141.95,2022-01-03 14:18:00,441.0,2.1067277210285313,310.6727721028531,50.0,0
BANKNIFTYWK36300CE,2022-01-03 09:15:00,111.95,2022-01-03 12:37:00,229.3,1.0482358195623047,204.82358195623047,50.0,0
BANKNIFTYWK36300CE,2022-01-03 09:15:00,111.95,2022-01-03 14:19:00,349.3,2.1201429209468516,312.0142920946852,50.0,0
BANKNIFTYWK38600CE,2022-01-07 09:15:00,164.8,2022-01-12 09:19:00,333.65,1.0245752427184462,202.45752427184462,50.0,0
BANKNIFTYWK38600CE,2022-01-07 09:15:00,164.8,2022-01-12 13:56:00,246.0,0.49271844660194164,149.27184466019418,50.0,1
BANKNIFTYWK38700CE,2022-01-10 09:15:00,189.5,2022-01-13 09:19:00,91.05,-0.5195250659630607,48.04749340369393,100.0,1
BANKNIFTYWK38900CE,2022-01-11 12:15:00,98.65,2022-01-13 09:16:00,44.75,-0.5463760770400405,45.362392295995946,100.0,1
BANKNIFTYWK39300CE,2022-01-12 09:15:00,67.85,2022-01-12 13:48:00,33.9,-0.5003684598378777,49.96315401621223,100.0,1
BANKNIFTYWK39000CE,2022-01-18 11:15:00,67.65,2022-01-18 13:05:00,148.85,1.2002956393200293,220.02956393200296,50.0,0
BANKNIFTYWK39000CE,2022-01-18 11:15:00,67.65,2022-01-18 13:19:00,210.0,2.104212860310421,310.4212860310421,50.0,0
BANKNIFTYWK37800CE,2022-01-25 11:15:00,123.1,2022-01-25 14:42:00,246.55,1.002843216896832,200.2843216896832,50.0,0
BANKNIFTYWK37800CE,2022-01-25 11:15:00,123.1,2022-01-27 09:15:00,32.2,-0.7384240454914703,26.157595450852966,50.0,1
BANKNIFTYWK38500CE,2022-01-31 11:15:00,446.3,2022-02-02 14:36:00,896.0,1.0076181940398834,200.76181940398837,50.0,0
BANKNIFTYWK38500CE,2022-01-31 11:15:00,446.3,2022-02-03 11:57:00,667.05,0.49462245126596444,149.46224512659646,50.0,1
BANKNIFTYWK39000CE,2022-02-09 09:15:00,53.65,2022-02-10 10:32:00,113.9,1.1230195712954336,212.30195712954333,50.0,0
BANKNIFTYWK39000CE,2022-02-09 09:15:00,53.65,2022-02-10 10:42:00,172.2,2.2096924510717613,320.9692451071761,50.0,0
BANKNIFTYWK38500CE,2022-02-15 13:15:00,35.25,2022-02-15 13:44:00,73.05,1.0723404255319149,207.2340425531915,50.0,0
BANKNIFTYWK38500CE,2022-02-15 13:15:00,35.25,2022-02-15 13:53:00,106.1,2.009929078014184,300.9929078014184,50.0,0
BANKNIFTYWK38200CE,2022-02-18 13:15:00,313.6,2022-02-21 09:25:00,150.9,-0.5188137755102041,48.118622448979586,100.0,1
BANKNIFTYWK38200CE,2022-02-21 10:15:00,127.1,2022-02-21 11:30:00,286.35,1.252950432730134,225.29504327301336,50.0,0
BANKNIFTYWK38200CE,2022-02-21 10:15:00,127.1,2022-02-21 13:40:00,247.0,0.9433516915814321,194.3351691581432,50.0,1
BANKNIFTYWK38100CE,2022-02-23 10:15:00,81.9,2022-02-23 14:41:00,37.55,-0.5415140415140416,45.84859584859584,100.0,1
BANKNIFTYWK37000CE,2022-02-25 12:15:00,336.65,2022-02-28 09:15:00,132.3,-0.6070102480320807,39.29897519679193,100.0,1
BANKNIFTYWK35800CE,2022-03-03 11:15:00,38.0,2022-03-03 12:18:00,18.4,-0.5157894736842106,48.421052631578945,100.0,1
BANKNIFTYWK35600CE,2022-03-03 14:15:00,5.35,2022-03-03 14:38:00,2.3,-0.5700934579439252,42.990654205607484,100.0,1
BANKNIFTYWK35000CE,2022-03-04 14:15:00,539.6,2022-03-07 09:15:00,119.0,-0.779466271312083,22.053372868791698,100.0,1
BANKNIFTYWK33700CE,2022-03-08 14:15:00,178.9,2022-03-09 14:03:00,364.0,1.034656232532141,203.46562325321412,50.0,0
BANKNIFTYWK33700CE,2022-03-08 14:15:00,178.9,2022-03-09 15:02:00,349.0,0.950810508664058,195.0810508664058,50.0,1
BANKNIFTYWK36200CE,2022-03-16 11:15:00,153.15,2022-03-17 09:16:00,314.2,1.0515834149526606,205.15834149526606,50.0,0
BANKNIFTYWK36200CE,2022-03-16 11:15:00,153.15,2022-03-17 12:08:00,306.1,0.9986940907606922,199.86940907606922,50.0,1
BANKNIFTYWK37000CE,2022-03-23 09:15:00,212.85,2022-03-23 11:59:00,102.9,-0.5165609584214235,48.34390415785765,100.0,1
BANKNIFTYWK36100CE,2022-03-28 13:15:00,292.25,2022-04-01 09:15:00,618.15,1.1151411462788707,211.51411462788707,50.0,0
BANKNIFTYWK36100CE,2022-03-28 13:15:00,292.25,2022-04-01 10:25:00,877.1,2.0011976047904194,300.11976047904193,50.0,0
BANKNIFTYWK37000CE,2022-04-21 09:15:00,22.4,2022-04-21 10:24:00,9.85,-0.5602678571428571,43.97321428571429,100.0,1
BANKNIFTYWK36700CE,2022-04-25 15:15:00,142.65,2022-04-27 09:16:00,66.8,-0.5317209954433929,46.82790045566071,100.0,1
BANKNIFTYWK36600CE,2022-04-28 11:15:00,7.1,2022-04-28 12:43:00,14.35,1.0211267605633803,202.112676056338,50.0,0
BANKNIFTYWK36600CE,2022-04-28 11:15:00,7.1,2022-04-28 12:46:00,9.75,0.37323943661971837,137.32394366197184,50.0,1
BANKNIFTYWK34800CE,2022-05-09 15:15:00,154.0,2022-05-11 12:46:00,76.3,-0.5045454545454545,49.54545454545455,100.0,1
BANKNIFTYWK34400CE,2022-05-13 12:15:00,209.55,2022-05-13 14:19:00,104.15,-0.5029825817227392,49.701741827726075,100.0,1
BANKNIFTYWK34200CE,2022-05-16 10:15:00,183.3,2022-05-17 15:00:00,366.9,1.0016366612111292,200.1636661211129,50.0,0
BANKNIFTYWK34200CE,2022-05-16 10:15:00,183.3,2022-05-18 12:19:00,360.55,0.9669939989088925,196.69939989088925,50.0,1
BANKNIFTYWK35000PE,2021-12-31 11:15:00,189.45,2022-01-03 09:46:00,93.95,-0.5040907891264186,49.59092108735814,100.0,1
BANKNIFTYWK35000PE,2021-12-31 13:15:00,176.25,2022-01-03 09:48:00,86.45,-0.5095035460992907,49.04964539007093,100.0,1
BANKNIFTYWK36700PE,2022-01-06 10:15:00,18.05,2022-01-06 11:29:00,8.3,-0.5401662049861495,45.983379501385045,100.0,1
BANKNIFTYWK37100PE,2022-01-07 12:15:00,234.6,2022-01-10 09:15:00,92.5,-0.6057118499573743,39.428815004262574,100.0,1
BANKNIFTYWK37800PE,2022-01-11 11:15:00,114.2,2022-01-12 09:15:00,31.8,-0.7215411558669002,27.845884413309985,100.0,1
BANKNIFTYWK37900PE,2022-01-11 15:15:00,110.0,2022-01-12 09:15:00,41.0,-0.6272727272727273,37.272727272727266,100.0,1
BANKNIFTYWK38200PE,2022-01-12 14:15:00,67.1,2022-01-13 09:21:00,28.15,-0.5804769001490313,41.95230998509687,100.0,1
BANKNIFTYWK37700PE,2022-01-18 15:15:00,129.9,2022-01-19 10:15:00,62.7,-0.5173210161662818,48.26789838337182,100.0,1
BANKNIFTYWK37300PE,2022-01-31 10:15:00,456.95,2022-02-01 10:16:00,219.55,-0.5195316774264143,48.046832257358574,100.0,1
BANKNIFTYWK38700PE,2022-02-03 13:15:00,6.05,2022-02-03 14:26:00,2.2,-0.6363636363636364,36.36363636363637,100.0,1
BANKNIFTYWK38100PE,2022-02-11 11:15:00,280.2,2022-02-14 09:15:00,729.4,1.603140613847252,260.31406138472516,50.0,0
BANKNIFTYWK38100PE,2022-02-11 11:15:00,280.2,2022-02-14 09:17:00,937.4,2.345467523197716,334.5467523197716,50.0,0
BANKNIFTYWK37000PE,2022-02-17 14:15:00,5.1,2022-02-17 14:25:00,2.35,-0.5392156862745098,46.07843137254902,100.0,1
BANKNIFTYWK36900PE,2022-02-21 09:15:00,294.6,2022-02-21 11:50:00,146.8,-0.5016972165648337,49.83027834351663,100.0,1
BANKNIFTYWK36600PE,2022-02-22 09:15:00,356.2,2022-02-22 13:57:00,174.7,-0.5095451993262212,49.04548006737788,100.0,1
BANKNIFTYWK35600PE,2022-02-24 09:15:00,165.9,2022-02-24 09:19:00,70.35,-0.5759493670886077,42.405063291139236,100.0,1
BANKNIFTYWK34800PE,2022-03-02 09:15:00,295.2,2022-03-03 09:15:00,22.05,-0.9253048780487805,7.469512195121952,100.0,1
BANKNIFTYWK34400PE,2022-03-03 13:15:00,10.4,2022-03-03 14:26:00,5.2,-0.5,50.0,100.0,1
BANKNIFTYWK33900PE,2022-03-04 09:15:00,541.85,2022-03-07 09:22:00,1107.2,1.0433699363292424,204.33699363292425,50.0,0
BANKNIFTYWK33900PE,2022-03-04 09:15:00,541.85,2022-03-07 14:15:00,1630.75,2.009596751868598,300.95967518685984,50.0,0
BANKNIFTYWK33900PE,2022-03-04 15:15:00,486.0,2022-03-07 09:16:00,993.0,1.0432098765432098,204.32098765432096,50.0,0
BANKNIFTYWK33900PE,2022-03-04 15:15:00,486.0,2022-03-07 10:17:00,1458.85,2.0017489711934155,300.17489711934155,50.0,0
BANKNIFTYWK34400PE,2022-03-15 13:15:00,289.3,2022-03-16 09:15:00,85.6,-0.7041133771171795,29.588662288282052,100.0,1
BANKNIFTYWK35700PE,2022-03-21 10:15:00,339.15,2022-03-22 15:11:00,160.25,-0.5274952086097596,47.25047913902404,100.0,1
BANKNIFTYWK35800PE,2022-03-23 12:15:00,154.1,2022-03-24 09:25:00,311.25,1.019792342634653,201.9792342634653,50.0,0
BANKNIFTYWK35800PE,2022-03-23 12:15:00,154.1,2022-03-24 09:34:00,230.5,0.4957819597663855,149.57819597663854,50.0,1
BANKNIFTYWK37900PE,2022-04-05 13:15:00,95.8,2022-04-05 15:11:00,202.55,1.1143006263048019,211.4300626304802,50.0,0
BANKNIFTYWK37900PE,2022-04-05 13:15:00,95.8,2022-04-06 09:15:00,402.0,3.196242171189979,419.62421711899793,50.0,0
BANKNIFTYWK35600PE,2022-04-22 13:15:00,136.3,2022-04-25 09:15:00,407.65,1.9908290535583268,299.0829053558327,50.0,0
BANKNIFTYWK35600PE,2022-04-22 13:15:00,136.3,2022-04-25 10:06:00,252.2,0.8503301540718999,185.03301540719,50.0,1
BANKNIFTYWK35400PE,2022-04-27 11:15:00,41.3,2022-04-27 12:52:00,86.25,1.0883777239709445,208.83777239709445,50.0,0
BANKNIFTYWK35400PE,2022-04-27 11:15:00,41.3,2022-04-27 13:18:00,80.8,0.9564164648910413,195.64164648910412,50.0,1
BANKNIFTYWK35600PE,2022-04-29 15:15:00,190.2,2022-05-04 09:15:00,56.3,-0.7039957939011566,29.60042060988434,100.0,1
BANKNIFTYWK33200PE,2022-05-12 10:15:00,20.95,2022-05-12 13:17:00,9.9,-0.5274463007159904,47.25536992840096,100.0,1
BANKNIFTYWK32600PE,2022-05-13 14:15:00,142.65,2022-05-16 14:45:00,70.0,-0.5092884682790045,49.07115317209955,100.0,1
BANKNIFTYWK33000PE,2022-05-19 09:15:00,68.8,2022-05-19 09:59:00,34.25,-0.5021802325581395,49.78197674418605,100.0,1
